"ADM1_ES","ADM2_ES","college","clinic","university","school","hospital"
"Archipielago de San Andres, Providencia y Santa Catalina","San Andres",0,1,2,6,2
"Atlantico","Baranoa",0,1,1,3,1
"Atlantico","Barranquilla",21,33,16,202,67
"Atlantico","Campo de la Cruz",0,0,0,6,0
"Atlantico","Galapa",1,0,0,5,1
"Atlantico","Juan de Acosta",1,0,0,0,0
"Atlantico","Malambo",2,1,0,16,2
"Atlantico","Manati",0,0,0,10,2
"Atlantico","Ponedera",3,0,0,0,0
"Atlantico","Puerto Colombia",0,1,8,16,1
"Atlantico","Sabanagrande",0,0,0,1,1
"Atlantico","Sabanalarga",5,1,0,2,2
"Atlantico","Soledad",3,5,0,44,13
"Atlantico","Suan",2,0,0,1,1
"Atlantico","Tubara",0,0,0,3,1
"Bogota, D.C.","Bogota, D.C.",117,258,162,1187,155
"Bolivar","Altos del Rosario",0,0,0,2,1
"Bolivar","Arenal",0,0,0,1,0
"Bolivar","Arjona",0,0,0,1,0
"Bolivar","Cantagallo",0,0,0,2,0
"Bolivar","Cartagena de Indias",11,23,18,92,19
"Bolivar","El Carmen de Bolivar",1,1,1,15,1
"Bolivar","Magangue",1,1,2,3,2
"Bolivar","Mahates",0,1,0,1,0
"Bolivar","Margarita",0,0,2,0,0
"Bolivar","Mompos",0,0,0,12,1
"Bolivar","Morales",0,0,0,7,1
"Bolivar","Rio Viejo",2,0,0,7,4
"Bolivar","San Estanislao",0,0,0,1,0
"Bolivar","San Fernando",0,0,0,1,0
"Bolivar","San Jacinto",0,0,0,4,1
"Bolivar","San Juan Nepomuceno",0,0,0,1,0
"Bolivar","San Pablo",0,0,0,10,0
"Bolivar","Santa Rosa del Sur",0,0,0,42,1
"Bolivar","Simiti",0,0,0,13,0
"Bolivar","Tiquisio",0,0,0,2,1
"Bolivar","Turbaco",1,0,2,3,2
"Boyaca","Almeida",0,0,0,5,1
"Boyaca","Aquitania",0,0,0,19,0
"Boyaca","Arcabuco",0,0,0,9,2
"Boyaca","Belen",0,0,0,20,4
"Boyaca","Berbeo",0,0,0,1,0
"Boyaca","Beteitiva",0,0,0,5,0
"Boyaca","Boavita",0,0,0,27,4
"Boyaca","Boyaca",1,0,0,3,0
"Boyaca","Buenavista",0,0,0,20,0
"Boyaca","Busbanza",0,0,0,1,0
"Boyaca","Caldas",1,0,0,4,0
"Boyaca","Campohermoso",0,0,0,15,1
"Boyaca","Cerinza",0,0,0,6,1
"Boyaca","Chinavita",0,0,0,7,2
"Boyaca","Chiquinquira",2,2,3,11,3
"Boyaca","Chiquiza",0,0,0,5,1
"Boyaca","Chiscas",0,0,0,3,0
"Boyaca","Chita",0,0,0,13,1
"Boyaca","Chitaraque",0,0,0,4,0
"Boyaca","Chivata",1,0,0,14,2
"Boyaca","Chivor",0,0,0,2,0
"Boyaca","Cienega",0,0,0,7,0
"Boyaca","Combita",0,0,0,13,0
"Boyaca","Coper",0,0,0,2,0
"Boyaca","Corrales",0,0,0,2,0
"Boyaca","Covarachia",0,0,0,21,3
"Boyaca","Cubara",0,0,0,22,1
"Boyaca","Cucaita",0,0,0,13,0
"Boyaca","Cuitiva",0,0,0,4,0
"Boyaca","Duitama",3,3,4,45,6
"Boyaca","El Cocuy",0,0,0,5,1
"Boyaca","El Espino",0,0,0,0,1
"Boyaca","Firavitoba",0,0,0,3,0
"Boyaca","Floresta",0,0,0,18,1
"Boyaca","Gachantiva",0,0,0,2,1
"Boyaca","Gameza",0,0,0,8,1
"Boyaca","Garagoa",0,0,0,6,2
"Boyaca","Guacamayas",0,0,0,8,1
"Boyaca","Guateque",1,0,0,4,0
"Boyaca","Guayata",0,0,0,16,0
"Boyaca","Guican de la Sierra",0,1,0,7,1
"Boyaca","Iza",0,0,0,3,0
"Boyaca","Jenesano",0,0,0,7,1
"Boyaca","Jerico",0,0,0,1,0
"Boyaca","La Capilla",0,0,0,7,1
"Boyaca","La Uvita",0,0,0,4,1
"Boyaca","La Victoria",0,0,0,0,1
"Boyaca","Macanal",0,0,0,11,0
"Boyaca","Maripi",7,0,0,11,3
"Boyaca","Miraflores",0,0,0,18,1
"Boyaca","Mongua",0,0,0,1,0
"Boyaca","Mongui",0,0,0,3,1
"Boyaca","Moniquira",0,0,0,16,1
"Boyaca","Motavita",0,0,0,7,0
"Boyaca","Muzo",0,0,0,10,1
"Boyaca","Nobsa",0,0,0,3,0
"Boyaca","Nuevo Colon",0,0,0,2,0
"Boyaca","Oicata",0,0,0,4,0
"Boyaca","Otanche",0,0,0,14,0
"Boyaca","Pachavita",0,0,0,2,0
"Boyaca","Paez",0,0,0,14,2
"Boyaca","Paipa",0,0,0,16,2
"Boyaca","Pajarito",0,1,0,4,0
"Boyaca","Panqueba",0,0,0,2,1
"Boyaca","Pauna",0,0,0,29,0
"Boyaca","Paya",0,0,0,8,2
"Boyaca","Paz de Rio",1,0,1,3,1
"Boyaca","Pesca",0,0,0,9,0
"Boyaca","Puerto Boyaca",1,1,0,38,4
"Boyaca","Quipama",0,0,0,9,1
"Boyaca","Ramiriqui",0,0,0,22,1
"Boyaca","Raquira",0,0,0,22,0
"Boyaca","Rondon",0,0,0,1,0
"Boyaca","Saboya",0,0,0,9,0
"Boyaca","Sachica",1,1,0,17,0
"Boyaca","Samaca",2,0,0,13,1
"Boyaca","San Eduardo",0,0,0,1,0
"Boyaca","San Jose de Pare",0,0,0,10,1
"Boyaca","San Luis de Gaceno",0,0,1,12,1
"Boyaca","San Mateo",0,0,0,25,0
"Boyaca","San Miguel de Sema",0,0,0,10,1
"Boyaca","San Pablo de Borbur",0,0,0,16,0
"Boyaca","Santa Maria",0,0,0,3,0
"Boyaca","Santa Rosa de Viterbo",0,0,0,10,1
"Boyaca","Santa Sofia",0,0,0,2,1
"Boyaca","Santana",0,0,0,4,1
"Boyaca","Sativanorte",0,0,0,19,1
"Boyaca","Sativasur",0,0,0,4,0
"Boyaca","Siachoque",4,0,0,2,1
"Boyaca","Soata",2,0,0,14,0
"Boyaca","Socha",0,0,1,19,1
"Boyaca","Socota",0,0,0,25,3
"Boyaca","Sogamoso",0,1,2,22,6
"Boyaca","Somondoco",0,0,0,4,1
"Boyaca","Sora",0,1,0,1,0
"Boyaca","Soraca",0,0,0,2,1
"Boyaca","Sotaquira",1,0,0,7,0
"Boyaca","Sutamarchan",0,0,0,10,1
"Boyaca","Sutatenza",0,0,0,1,0
"Boyaca","Tasco",0,0,0,9,0
"Boyaca","Tenza",0,0,0,1,0
"Boyaca","Tibana",0,0,0,10,0
"Boyaca","Tibasosa",0,0,0,6,0
"Boyaca","Tinjaca",1,0,0,2,0
"Boyaca","Tipacoque",0,0,0,8,0
"Boyaca","Toca",0,0,0,11,1
"Boyaca","Togui",0,0,0,6,1
"Boyaca","Topaga",0,0,0,2,0
"Boyaca","Tota",0,1,0,2,0
"Boyaca","Tunja",5,2,9,32,16
"Boyaca","Tunungua",0,0,0,1,0
"Boyaca","Turmeque",0,0,0,5,1
"Boyaca","Tuta",0,0,0,17,1
"Boyaca","Tutaza",0,0,0,2,0
"Boyaca","Umbita",0,0,0,14,2
"Boyaca","Ventaquemada",1,0,0,8,1
"Boyaca","Villa de Leyva",1,0,0,4,1
"Boyaca","Viracacha",0,0,0,1,0
"Caldas","Aguadas",0,1,0,3,1
"Caldas","Anserma",0,0,0,0,1
"Caldas","Aranzazu",0,0,0,2,0
"Caldas","Belalcazar",0,0,0,2,1
"Caldas","Chinchina",0,1,0,6,3
"Caldas","Filadelfia",0,0,0,1,1
"Caldas","La Dorada",0,0,0,1,1
"Caldas","Manizales",5,17,15,51,18
"Caldas","Marmato",0,0,0,0,1
"Caldas","Marquetalia",0,0,0,17,1
"Caldas","Neira",0,0,0,1,0
"Caldas","Norcasia",0,0,0,1,1
"Caldas","Pacora",0,0,0,8,1
"Caldas","Palestina",0,0,1,3,2
"Caldas","Pensilvania",0,0,0,44,2
"Caldas","Riosucio",0,0,0,1,1
"Caldas","Risaralda",0,0,0,2,1
"Caldas","Salamina",2,0,0,4,0
"Caldas","Samana",0,0,0,49,2
"Caldas","Supia",0,1,0,1,1
"Caldas","Victoria",0,0,0,2,0
"Caldas","Villamaria",1,0,0,18,2
"Caldas","Viterbo",0,0,0,3,1
"Caqueta","Albania",1,0,0,17,2
"Caqueta","Belen de los Andaquies",0,0,0,3,1
"Caqueta","Cartagena del Chaira",1,3,0,5,1
"Caqueta","Curillo",0,0,0,18,1
"Caqueta","El Doncello",0,0,0,1,0
"Caqueta","El Paujil",0,0,0,11,2
"Caqueta","Florencia",4,3,2,9,4
"Caqueta","La Montanita",0,0,0,4,0
"Caqueta","Milan",0,0,0,1,0
"Caqueta","Morelia",1,0,0,4,0
"Caqueta","Puerto Rico",0,1,0,4,1
"Caqueta","San Jose del Fragua",2,1,0,5,0
"Caqueta","San Vicente del Caguan",2,0,0,7,1
"Caqueta","Solano",0,1,0,7,1
"Caqueta","Solita",0,0,0,8,1
"Caqueta","Valparaiso",0,0,0,31,0
"Casanare","Aguazul",0,0,0,4,1
"Casanare","Chameza",0,0,0,3,0
"Casanare","Hato Corozal",0,0,0,2,0
"Casanare","Mani",0,0,0,3,1
"Casanare","Monterrey",0,0,0,0,1
"Casanare","Nunchia",0,0,0,1,0
"Casanare","Orocue",0,0,0,4,1
"Casanare","Paz de Ariporo",0,0,0,2,2
"Casanare","Pore",1,0,0,0,0
"Casanare","Recetor",0,0,0,1,0
"Casanare","Sabanalarga",0,0,0,3,0
"Casanare","Sacama",0,0,0,1,0
"Casanare","San Luis de Palenque",0,0,0,3,0
"Casanare","Tamara",0,0,0,3,0
"Casanare","Tauramena",8,0,0,5,1
"Casanare","Trinidad",0,1,0,3,0
"Casanare","Villanueva",0,2,0,13,1
"Casanare","Yopal",6,6,8,54,13
"Cauca","Almaguer",2,0,0,4,1
"Cauca","Argelia",2,0,0,37,3
"Cauca","Balboa",0,0,0,1,0
"Cauca","Bolivar",0,1,0,9,1
"Cauca","Buenos Aires",3,1,0,11,1
"Cauca","Cajibio",2,3,0,32,1
"Cauca","Caldono",3,0,0,16,1
"Cauca","Caloto",4,0,0,3,2
"Cauca","Corinto",0,0,0,3,0
"Cauca","El Tambo",10,6,0,38,0
"Cauca","Florencia",1,0,0,2,1
"Cauca","Guachene",2,0,0,2,1
"Cauca","Guapi",0,0,0,15,2
"Cauca","Inza",0,3,0,9,1
"Cauca","Jambalo",0,0,0,5,1
"Cauca","La Sierra",0,0,0,14,1
"Cauca","La Vega",3,2,0,45,1
"Cauca","Lopez de Micay",0,1,0,3,1
"Cauca","Mercaderes",1,1,0,4,1
"Cauca","Miranda",4,4,1,19,2
"Cauca","Morales",0,0,0,22,0
"Cauca","Padilla",2,0,0,6,1
"Cauca","Paez",3,1,0,5,2
"Cauca","Patia",5,5,0,14,2
"Cauca","Piamonte",1,1,0,12,2
"Cauca","Piendamo - Tunia",2,0,0,12,3
"Cauca","Popayan",4,19,15,78,9
"Cauca","Puerto Tejada",17,2,0,9,2
"Cauca","Purace",0,0,0,6,1
"Cauca","Rosas",0,0,0,5,0
"Cauca","San Sebastian",0,0,0,7,0
"Cauca","Santa Rosa",0,0,0,7,0
"Cauca","Santander de Quilichao",8,6,4,24,3
"Cauca","Silvia",1,2,0,23,2
"Cauca","Sotara - Paispamba",0,1,0,7,2
"Cauca","Suarez",0,0,0,9,2
"Cauca","Sucre",2,0,0,0,1
"Cauca","Timbio",4,0,2,14,1
"Cauca","Timbiqui",0,1,0,3,0
"Cauca","Toribio",0,0,0,9,1
"Cauca","Totoro",0,1,0,15,1
"Cauca","Villa Rica",1,0,0,6,1
"Cesar","Aguachica",3,1,1,12,4
"Cesar","Agustin Codazzi",1,0,1,4,0
"Cesar","Becerril",0,0,0,3,0
"Cesar","Chiriguana",0,0,0,5,2
"Cesar","Curumani",1,0,0,4,1
"Cesar","El Paso",0,0,0,5,1
"Cesar","La Gloria",0,0,0,4,0
"Cesar","La Paz",0,0,5,2,0
"Cesar","Manaure Balcon del Cesar",0,2,0,3,1
"Cesar","Pailitas",0,0,0,1,0
"Cesar","Pueblo Bello",0,0,0,0,1
"Cesar","Rio de Oro",0,0,0,4,0
"Cesar","San Alberto",0,0,0,1,2
"Cesar","San Martin",0,0,0,1,0
"Cesar","Tamalameque",0,0,0,1,0
"Cesar","Valledupar",2,4,9,23,6
"Choco","Acandi",2,0,0,12,2
"Choco","Bahia Solano",0,0,0,4,1
"Choco","Bajo Baudo",0,0,0,1,1
"Choco","Bojaya",1,0,0,1,0
"Choco","Carmen del Darien",0,0,0,1,0
"Choco","Certegui",0,0,0,1,0
"Choco","Condoto",0,0,0,1,0
"Choco","El Canton del San Pablo",0,0,0,1,0
"Choco","Istmina",1,0,1,4,1
"Choco","Jurado",0,0,0,1,1
"Choco","Nuqui",1,1,0,2,0
"Choco","Quibdo",2,0,3,7,3
"Choco","Rio Iro",0,0,0,3,0
"Choco","Riosucio",0,0,0,22,0
"Choco","Tado",0,0,0,5,1
"Choco","Unguia",0,0,0,7,1
"Cordoba","Ayapel",0,0,0,2,0
"Cordoba","Cerete",0,0,0,0,2
"Cordoba","Cienaga de Oro",0,0,1,0,0
"Cordoba","Cotorra",0,0,0,0,1
"Cordoba","Lorica",10,0,3,7,4
"Cordoba","Los Cordobas",0,0,0,0,1
"Cordoba","Momil",0,0,0,1,0
"Cordoba","Monitos",0,0,0,1,0
"Cordoba","Montelibano",0,0,0,14,0
"Cordoba","Monteria",4,18,6,25,3
"Cordoba","Puerto Libertador",0,0,0,1,0
"Cordoba","Purisima de la Concepcion",1,0,0,0,0
"Cordoba","Sahagun",1,0,0,8,1
"Cordoba","San Antero",0,0,0,0,1
"Cordoba","San Bernardo del Viento",2,0,0,3,0
"Cordoba","San Jose de Ure",0,0,0,3,0
"Cordoba","San Pelayo",0,0,0,3,0
"Cordoba","Tierralta",7,0,0,17,3
"Cordoba","Tuchin",0,0,0,0,1
"Cordoba","Valencia",0,0,0,12,1
"Cundinamarca","Alban",0,0,0,4,0
"Cundinamarca","Anapoima",0,0,0,3,1
"Cundinamarca","Anolaima",0,0,0,7,2
"Cundinamarca","Apulo",0,1,0,0,1
"Cundinamarca","Arbelaez",0,0,0,5,2
"Cundinamarca","Beltran",0,0,0,3,1
"Cundinamarca","Bojaca",0,0,0,3,1
"Cundinamarca","Cabrera",0,0,0,1,0
"Cundinamarca","Cachipay",0,0,0,5,0
"Cundinamarca","Cajica",0,1,3,7,1
"Cundinamarca","Caparrapi",0,0,0,21,0
"Cundinamarca","Caqueza",0,0,0,1,0
"Cundinamarca","Carmen de Carupa",1,0,0,8,2
"Cundinamarca","Chia",2,5,4,24,3
"Cundinamarca","Choachi",0,0,0,8,1
"Cundinamarca","Choconta",0,0,0,2,1
"Cundinamarca","Cogua",0,0,0,3,0
"Cundinamarca","Cota",0,0,0,15,1
"Cundinamarca","El Colegio",2,0,0,7,2
"Cundinamarca","El Penon",0,0,0,3,0
"Cundinamarca","El Rosal",1,0,0,7,0
"Cundinamarca","Facatativa",2,0,1,20,8
"Cundinamarca","Fomeque",0,0,0,2,3
"Cundinamarca","Fosca",0,1,0,2,0
"Cundinamarca","Funza",1,0,0,21,1
"Cundinamarca","Fuquene",3,0,0,0,1
"Cundinamarca","Fusagasuga",1,1,4,16,5
"Cundinamarca","Gachancipa",0,0,0,1,1
"Cundinamarca","Gacheta",0,0,0,0,1
"Cundinamarca","Girardot",1,6,5,28,0
"Cundinamarca","Granada",0,0,0,2,1
"Cundinamarca","Guacheta",4,0,0,1,1
"Cundinamarca","Guaduas",0,0,0,3,1
"Cundinamarca","Guasca",1,0,0,6,1
"Cundinamarca","Guataqui",0,0,0,1,0
"Cundinamarca","Guatavita",0,0,0,4,1
"Cundinamarca","Guayabetal",0,1,0,0,0
"Cundinamarca","Gutierrez",0,0,0,1,0
"Cundinamarca","Jerusalen",0,0,0,2,1
"Cundinamarca","Junin",0,0,0,3,0
"Cundinamarca","La Calera",1,0,0,16,1
"Cundinamarca","La Mesa",3,2,0,7,1
"Cundinamarca","La Palma",0,0,0,3,1
"Cundinamarca","La Pena",0,0,0,2,0
"Cundinamarca","La Vega",0,0,0,3,1
"Cundinamarca","Lenguazaque",0,0,0,1,0
"Cundinamarca","Macheta",0,0,0,2,1
"Cundinamarca","Madrid",0,0,0,13,2
"Cundinamarca","Manta",0,0,0,2,1
"Cundinamarca","Medina",1,0,0,1,1
"Cundinamarca","Mosquera",1,2,1,24,1
"Cundinamarca","Nemocon",0,0,0,2,1
"Cundinamarca","Pacho",1,0,0,8,2
"Cundinamarca","Paime",0,0,0,26,0
"Cundinamarca","Paratebueno",0,0,0,4,0
"Cundinamarca","Pasca",0,0,0,2,0
"Cundinamarca","Puli",0,0,0,1,0
"Cundinamarca","Quebradanegra",0,0,0,1,0
"Cundinamarca","Quipile",0,0,0,4,0
"Cundinamarca","Ricaurte",0,0,0,3,0
"Cundinamarca","San Antonio del Tequendama",1,0,0,2,2
"Cundinamarca","San Bernardo",0,0,0,4,0
"Cundinamarca","San Cayetano",1,0,0,0,1
"Cundinamarca","San Francisco",0,0,0,1,0
"Cundinamarca","San Juan de Rioseco",0,0,0,1,0
"Cundinamarca","Sasaima",0,0,1,0,1
"Cundinamarca","Sesquile",1,0,0,4,0
"Cundinamarca","Sibate",1,0,0,36,2
"Cundinamarca","Silvania",0,0,0,6,1
"Cundinamarca","Soacha",3,2,4,69,4
"Cundinamarca","Sopo",0,0,1,6,0
"Cundinamarca","Subachoque",1,0,0,5,1
"Cundinamarca","Suesca",0,0,0,1,1
"Cundinamarca","Sutatausa",0,0,0,1,0
"Cundinamarca","Tabio",11,0,0,1,0
"Cundinamarca","Tausa",0,0,0,2,0
"Cundinamarca","Tena",1,0,0,2,0
"Cundinamarca","Tenjo",0,0,0,2,0
"Cundinamarca","Tocaima",0,0,0,1,1
"Cundinamarca","Tocancipa",0,0,0,9,2
"Cundinamarca","Topaipi",0,0,0,16,0
"Cundinamarca","Ubala",2,0,0,4,0
"Cundinamarca","Ubaque",0,0,0,3,1
"Cundinamarca","Une",0,0,0,1,0
"Cundinamarca","Utica",0,1,0,0,0
"Cundinamarca","Venecia",0,0,0,1,0
"Cundinamarca","Vergara",1,0,0,0,0
"Cundinamarca","Viani",0,0,0,1,0
"Cundinamarca","Villa de San Diego de Ubate",0,0,0,6,1
"Cundinamarca","Villapinzon",0,0,0,4,0
"Cundinamarca","Villeta",0,0,0,5,4
"Cundinamarca","Yacopi",0,0,0,14,0
"Cundinamarca","Zipacon",0,0,0,3,0
"Cundinamarca","Zipaquira",1,0,0,4,4
"Guainia","Barrancominas",0,0,0,1,0
"Guainia","Inirida",0,0,0,9,1
"Guaviare","Calamar",0,0,0,11,1
"Guaviare","El Retorno",0,0,0,10,3
"Guaviare","Miraflores",0,0,0,3,0
"Guaviare","San Jose del Guaviare",6,0,1,32,1
"Huila","Acevedo",0,0,0,3,0
"Huila","Agrado",1,0,0,2,1
"Huila","Aipe",1,0,0,0,1
"Huila","Algeciras",0,0,0,2,1
"Huila","Baraya",0,0,0,9,1
"Huila","Campoalegre",0,0,0,0,1
"Huila","Colombia",0,0,0,2,0
"Huila","Elias",0,0,0,1,1
"Huila","Garzon",4,2,2,26,5
"Huila","Gigante",1,0,0,7,0
"Huila","Guadalupe",0,0,0,4,1
"Huila","Iquira",0,0,0,13,0
"Huila","Isnos",0,0,0,20,1
"Huila","La Plata",3,1,1,21,2
"Huila","Nataga",0,0,0,16,0
"Huila","Neiva",25,5,10,22,6
"Huila","Oporapa",0,0,0,5,0
"Huila","Palermo",0,0,0,2,1
"Huila","Palestina",1,0,0,11,2
"Huila","Pital",0,0,0,15,1
"Huila","Pitalito",0,3,2,35,0
"Huila","Rivera",1,0,1,5,1
"Huila","Saladoblanco",0,0,0,13,0
"Huila","San Agustin",1,0,0,19,1
"Huila","Santa Maria",0,0,0,27,0
"Huila","Suaza",0,0,0,4,0
"Huila","Tarqui",0,0,0,7,1
"Huila","Tello",0,0,0,1,1
"Huila","Teruel",0,0,0,10,0
"Huila","Tesalia",0,0,0,0,1
"Huila","Timana",0,0,0,9,1
"Huila","Villavieja",0,0,0,1,1
"Huila","Yaguara",0,0,0,1,0
"La Guajira","Albania",0,0,0,1,0
"La Guajira","Barrancas",0,3,0,35,1
"La Guajira","Dibulla",1,0,0,26,1
"La Guajira","Distraccion",0,0,0,12,0
"La Guajira","El Molino",0,0,0,5,1
"La Guajira","Fonseca",0,0,0,30,1
"La Guajira","Hatonuevo",0,0,0,13,0
"La Guajira","La Jagua del Pilar",0,0,0,2,0
"La Guajira","Maicao",0,1,1,60,4
"La Guajira","Manaure",0,2,0,28,3
"La Guajira","Riohacha",4,25,3,221,29
"La Guajira","San Juan del Cesar",0,0,0,35,2
"La Guajira","Uribia",1,1,0,114,3
"La Guajira","Urumita",0,0,0,9,1
"La Guajira","Villanueva",0,0,0,15,0
"Magdalena","Aracataca",0,0,0,1,2
"Magdalena","Chivolo",0,0,0,0,1
"Magdalena","Cienaga",0,1,0,20,6
"Magdalena","Concordia",0,0,0,3,1
"Magdalena","El Banco",0,0,0,10,3
"Magdalena","El Reten",0,0,0,0,1
"Magdalena","Fundacion",0,0,0,2,4
"Magdalena","Nueva Granada",0,0,0,1,0
"Magdalena","Plato",0,0,0,0,1
"Magdalena","Puebloviejo",0,0,0,1,1
"Magdalena","San Sebastian de Buenavista",0,0,0,2,0
